ID,LonX,LatY,centrality,dist_to_center,ORGANIZATION,SHORT
PCS,-80.77966387,37.04798147,0.011,#N/A,Pulaski County Public Schools,PC School
PDB,-80.7819251,37.05015267,0.016,#N/A,Pulaski Daily Bread Inc.,Pulaski DB
PW,-80.73566077,37.32810958,0.014,#N/A,Pearisburg Junior Women's Club Backpack Program,Pburg Women's
RCOG,-80.79808957,36.92406236,0.012,#N/A,Riverview Church of God,Riverview CoG
RU,-80.55107423,37.13990224,0.008,#N/A,Radford University (Highlander Helpers Backpack Club),RU
SA,-80.38720927,37.13377633,0.012,#N/A,Salvation Army,Sal Army
SJ,-80.52359027,37.11361599,0.008,#N/A,St. Jude Church,St. Jude
SOF,-80.7796746,37.04796434,0.007,#N/A,SO Fresh (Southwest Virginia Fresh),SO Fresh
UC,-80.5535014,37.13755709,0.014,#N/A,Unity Christian Church,Unity Christian
WRC,-80.55759713,37.13948268,0.003,#N/A,Women's Resource Center of the New River Valley,WRCNRV
