NAME,PARTY,STATE_NAME,LonX,LatY,icpsr
Michael R. Turner,Republican,Ohio,-83.957,39.701,20342
Shontel M. Brown,Democrat,Ohio,-81.589,41.37,22161
Troy Balderson,Republican,Ohio,-82.615,40.238,21759
Tim Ryan,Democrat,Ohio,-80.97,41.156,20343
David P. Joyce,Republican,Ohio,-81.006,41.553,21353
Mike Carey,Republican,Ohio,-82.753,39.577,22162
Anthony Gonzalez,Republican,Ohio,-81.738,40.973,21924
Kevin Hern,Republican,Oklahoma,-95.786,36.212,21760
Markwayne Mullin,Republican,Oklahoma,-95.452,35.155,21355
Frank D. Lucas,Republican,Oklahoma,-98.839,36.121,29393
Tom Cole,Republican,Oklahoma,-97.75,34.58,20344
Stephanie Bice,Republican,Oklahoma,-96.994,35.307,22102
Suzanne Bonamici,Democrat,Oregon,-123.293,45.688,21198
Cliff Bentz,Republican,Oregon,-119.552,43.86,22101
Earl Blumenauer,Democrat,Oregon,-122.199,45.389,29588
Peter A. DeFazio,Democrat,Oregon,-123.214,43.498,15410
Kurt Schrader,Democrat,Oregon,-123.117,45.016,20944
Brian Fitzpatrick,Republican,Pennsylvania,-75.115,40.333,21718
Brendan Boyle,Democrat,Pennsylvania,-75.06,40.048,21548
Dwight Evans,Democrat,Pennsylvania,-75.198,40.005,21566
Madeleine Dean,Democrat,Pennsylvania,-75.398,40.222,21915
Mary Gay Scanlon,Democrat,Pennsylvania,-75.379,39.922,21762
Chrissy Houlahan,Democrat,Pennsylvania,-75.777,40.024,21934
Susan Wild,Democrat,Pennsylvania,-75.418,40.728,21763
Matt Cartwright,Democrat,Pennsylvania,-75.406,41.37,21358
Dan Meuser,Republican,Pennsylvania,-76.172,40.771,21945
Scott Perry,Republican,Pennsylvania,-76.858,40.263,21356
Lloyd Smucker,Republican,Pennsylvania,-76.394,39.968,21745
Fred Keller,Republican,Pennsylvania,-77.045,41.349,21985
John Joyce,Republican,Pennsylvania,-78.259,40.104,21936
Guy Reschenthaler,Republican,Pennsylvania,-79.935,40.08,21956
Glenn Thompson,Republican,Pennsylvania,-78.91,41.204,20946
Mike Kelly,Republican,Pennsylvania,-80.128,41.496,21167
Conor Lamb,Democrat,Pennsylvania,-80.191,40.61,21756
Michael F. Doyle,Democrat,Pennsylvania,-79.903,40.371,29561
David N. Cicilline,Democrat,Rhode Island,-71.361,41.762,21172
James R. Langevin,Democrat,Rhode Island,-71.624,41.65,20136
Nancy Mace,Republican,South Carolina,-80.158,32.794,22132
Joe Wilson,Republican,South Carolina,-81.375,33.638,20138
Jeff Duncan,Republican,South Carolina,-82.339,34.356,21174
William R. Timmons IV,Republican,South Carolina,-82.172,34.941,21974
Ralph Norman,Republican,South Carolina,-81.02,34.539,21753
James E. Clyburn,Democrat,South Carolina,-80.525,33.226,39301
Tom Rice,Republican,South Carolina,-79.535,34.127,21359
Dusty Johnson,Republican,South Dakota,-100.23,44.436,21935
Diana Harshbarger,Republican,Tennessee,-82.795,36.215,22122
Tim Burchett,Republican,Tennessee,-83.826,36.047,21905
Charles J. “Chuck” Fleischmann,Republican,Tennessee,-84.504,35.766,21178
Scott DesJarlais,Republican,Tennessee,-85.96,35.45,21179
Jim Cooper,Democrat,Tennessee,-87.07,36.177,15019
John W. Rose,Republican,Tennessee,-85.781,36.2,21959
Mark E. Green,Republican,Tennessee,-87.832,35.637,21926
David Kustoff,Republican,Tennessee,-89.099,35.861,21731
Steve Cohen,Democrat,Tennessee,-89.979,35.168,20748
Louie Gohmert,Republican,Texas,-94.559,31.959,20527
Daniel Crenshaw,Republican,Texas,-95.338,29.965,21911
Van Taylor,Republican,Texas,-96.615,33.158,21973
Pat Fallon,Republican,Texas,-95.404,33.31,22112
Lance Gooden,Republican,Texas,-95.736,32.227,21925
Jake Ellzey,Republican,Texas,-96.675,32.231,22160
Lizzie Fletcher,Democrat,Texas,-95.606,29.793,21919
Kevin Brady,Republican,Texas,-95.547,30.821,29760
Al Green,Democrat,Texas,-95.496,29.645,20529
Michael T. McCaul,Republican,Texas,-96.596,29.971,20530
August Pfluger,Republican,Texas,-100.083,31.736,22147
Kay Granger,Republican,Texas,-97.669,32.817,29762
Ronny Jackson,Republican,Texas,-100.617,34.838,22125
Randy K. Weber Sr.,Republican,Texas,-94.916,29.461,21360
Vicente Gonzalez,Democrat,Texas,-98.261,27.756,21722
Veronica Escobar,Democrat,Texas,-106.282,31.858,21917
Pete Sessions,Republican,Texas,-96.656,31.163,29759
Sheila Jackson Lee,Democrat,Texas,-95.377,29.889,29573
Jodey C. Arrington,Republican,Texas,-101.217,33.245,21700
Joaquin Castro,Democrat,Texas,-98.622,29.475,21362
Chip Roy,Republican,Texas,-98.96,30.018,21961
Troy Nehls,Republican,Texas,-95.683,29.518,22143
Tony Gonzales,Republican,Texas,-102.363,30.379,22119
Beth Van Duyne,Republican,Texas,-97.011,32.92,22155
Roger Williams,Republican,Texas,-97.814,31.505,21364
Michael C. Burgess,Republican,Texas,-97.132,33.195,20355
Michael Cloud,Republican,Texas,-96.877,28.873,21758
Henry Cuellar,Democrat,Texas,-98.909,27.857,20533
Sylvia R. Garcia,Democrat,Texas,-95.266,29.783,21922
Eddie Bernice Johnson,Democrat,Texas,-96.801,32.657,39305
John R. Carter,Republican,Texas,-97.539,30.837,20356
Colin Z. Allred,Democrat,Texas,-96.652,32.921,21900
Marc A. Veasey,Democrat,Texas,-97.094,32.754,21365
Mayra Flores,Republican,Texas,-97.665,27.692,22165
Lloyd Doggett,Democrat,Texas,-97.886,29.918,29571
Brian Babin,Republican,Texas,-94.414,30.46,21551
Blake Moore,Republican,Utah,-111.329,40.945,22141
Chris Stewart,Republican,Utah,-112.562,38.758,21367
John R. Curtis,Republican,Utah,-110.228,38.68,21755
Burgess Owens,Republican,Utah,-111.85,39.88,22146
Robert J. Wittman,Republican,Virginia,-77.064,37.922,20756
Elaine Luria,Democrat,Virginia,-75.945,37.355,21941
Robert C. “Bobby” Scott,Democrat,Virginia,-76.59,36.899,39307
A. Donald McEachin,Democrat,Virginia,-77.162,36.958,21736
Bob Good,Republican,Virginia,-78.742,37.347,22120
Ben Cline,Republican,Virginia,-79.191,38.135,21908
Abigail Davis Spanberger,Democrat,Virginia,-77.901,37.826,21966
"Donald S. Beyer, Jr.",Democrat,Virginia,-77.137,38.79,21554
H. Morgan Griffith,Republican,Virginia,-81.319,36.992,21191
Jennifer Wexton,Democrat,Virginia,-77.837,39.084,21983
Gerald E. Connolly,Democrat,Virginia,-77.296,38.794,20952
Peter Welch,Democrat,Vermont,-72.663,44.075,20750
Suzan K. DelBene,Democrat,Washington,-121.632,48.348,31101
Rick Larsen,Democrat,Washington,-122.491,48.354,20145
Jaime Herrera Beutler,Republican,Washington,-122.189,46.226,21187
Dan Newhouse,Republican,Washington,-119.705,47.299,21556
Cathy McMorris Rodgers,Republican,Washington,-117.879,47.59,20535
Derek Kilmer,Democrat,Washington,-123.607,47.592,21368
Pramila Jayapal,Democrat,Washington,-122.376,47.589,21726
Kim Schrier,Democrat,Washington,-121.003,47.423,21962
Adam Smith,Democrat,Washington,-122.244,47.463,29768
Marilyn Strickland,Democrat,Washington,-122.752,47.031,22153
Bryan Steil,Republican,Wisconsin,-88.372,42.712,21970
Mark Pocan,Democrat,Wisconsin,-89.748,42.983,21370
Ron Kind,Democrat,Wisconsin,-90.916,44.068,29769
Gwen Moore,Democrat,Wisconsin,-87.952,43.064,20537
Scott Fitzgerald,Republican,Wisconsin,-88.534,43.199,22115
Glenn Grothman,Republican,Wisconsin,-88.704,43.797,21559
Thomas P. Tiffany,Republican,Wisconsin,-90.656,45.59,21989
Mike Gallagher,Republican,Wisconsin,-88.287,44.811,21720
David B. McKinley,Republican,West Virginia,-80.267,39.38,21188
Alexander X. Mooney,Republican,West Virginia,-80.185,38.839,21557
Carol Miller,Republican,West Virginia,-81.198,37.994,21946
Liz Cheney,Republican,Wyoming,-107.551,43,21710
