id,NAME,PARTY,STATE_NAME,LonX,LatY,pagerank,degree,distance to center,betweenness,closeness
22142,Frank J. Mrvan,Democrat,Indiana,-87.158,41.458,0.005248477,128,323.7072572,35.25012453,0.727272727
22143,Troy Nehls,Republican,Texas,-95.683,29.518,0.001034213,0,1271.152472,0,0
22144,DMarie Newman,Democrat,Illinois,-87.896,41.678,0.003963023,124,353.1569592,65.20689651,0.727272727
22145,Jay Obernolte,Republican,California,-116.812,35.675,0.001034213,0,2633.786453,0,0
22146,Burgess Owens,Republican,Utah,-111.85,39.88,0.001917588,1,2122.190124,0,1
22147,August Pfluger,Republican,Texas,-100.083,31.736,0.001034213,0,1392.865816,0,0
22148,Matt Rosendale,Republican,Montana,-109.645,47.033,0.001034213,0,2050.196037,0,0
22149,Deborah K. Ross,Democrat,North Carolina,-78.719,35.729,0.007315978,170,813.9651179,291.9180695,0.864864865
22150,Maria Elvira Salazar,Republican,Florida,-80.286,25.699,0.001034213,0,1568.684984,0,0
22151,Victoria Spartz,Republican,Indiana,-85.861,40.254,0.001034213,0,221.9045252,0,0
22152,Michelle Steel,Republican,California,-117.887,33.643,0.001034213,0,2797.145599,0,0
22153,Marilyn Strickland,Democrat,Washington,-122.752,47.031,0.001948323,2,3020.834449,191,0.43537415
22154,Ritchie Torres,Democrat,New York,-73.893,40.828,0.00360876,102,1165.240579,2.018899994,0.655290102
22155,Beth Van Duyne,Republican,Texas,-97.011,32.92,0.001034213,0,1083.327142,0,0
22156,Nikema Williams,Democrat,Georgia,-84.401,33.707,0.005839581,151,593.8772588,211.8883394,0.813559322
22157,Julia Letlow,Republican,Louisiana,-91.825,31.768,0.001034213,0,862.8533419,0,0
22158,Troy A. Carter,Democrat,Louisiana,-90.642,30.049,0.001034213,0,996.2335326,0,0
22159,Melanie A. Stansbury,Democrat,New Mexico,-106.055,34.769,0.001034213,0,1730.230948,0,0
22160,Jake Ellzey,Republican,Texas,-96.675,32.231,0.001034213,0,1108.457169,0,0
22161,Shontel M. Brown,Democrat,Ohio,-81.589,41.37,0.001034213,0,571.791139,0,0
22162,Mike Carey,Republican,Ohio,-82.753,39.577,0.001034213,0,400.5331205,0,0
22164,Connie Conway,Republican,California,-119.389,36.487,0.001034213,0,2833.794669,0,0
22165,Mayra Flores,Republican,Texas,-97.665,27.692,0.001034213,0,1549.080116,0,0
22166,Mike Flood,Republican,Nebraska,-96.831,41.378,0.001034213,0,878.5787789,0,0
22167,Brad Finstad,Democrat,Minnesota,-93.705,43.887,0.001034213,0,804.8991309,0,0
22168,Marry Sattler Peltola,Democrat,Alaska,-152.56,64.23,0.001034213,0,5041.228309,0,0
22169,Patrick Ryan,Democrat,New York,-74.421,42.215,0.001034213,0,1155.202368,0,0
22170,Joseph Sempolinski,Republican,New York,-77.751,42.331,0.001034213,0,902.7889671,0,0
22171,,Vacant,Indiana,-86.233,41.244,0.001034213,0,311.0033545,0,0
29106,Maxine Waters,Democrat,California,-118.335,33.904,0.001034213,0,2826.245113,0,0
29109,Rosa L. DeLauro,Democrat,Connecticut,-72.878,41.385,0.003462036,81,1258.962243,0.37872219,0.615384615
29312,Anna G. Eshoo,Democrat,California,-122.123,37.217,0.006096149,149,3050.168994,31.17119403,0.790123457
29317,Lucille Roybal-Allard,Democrat,California,-118.178,33.969,0.006878941,154,2810.179028,40.07553828,0.806722689
29323,Ken Calvert,Republican,California,-117.226,33.679,0.001034213,0,2738.31836,0,0
29337,Sheila Cherfilus-McCormick,Democrat,Florida,-80.58,26.448,0.001034213,0,1480.535932,0,0
29339,Sanford D. Bishop Jr.,Democrat,Georgia,-84.411,31.821,0.005755934,116,789.5318231,8.189649662,0.695652174
29346,Bobby L. Rush,Democrat,Illinois,-87.834,41.544,0.006762948,147,337.603375,33.6753467,0.783673469
29368,Bennie G. Thompson,Democrat,Mississippi,-90.346,33.2,0.008210736,161,658.5940783,97.0319272,0.831168831
29377,Jerrold Nadler,Democrat,New York,-73.992,40.694,0.002522892,38,1154.923445,0.013333333,0.520325203
29378,Nydia M. VelÃ¡zquez,Democrat,New York,-73.947,40.687,0.005380804,110,1158.581324,45.84427379,0.685714286
29379,Carolyn B. Maloney,Democrat,New York,-73.951,40.749,0.005944473,118,1159.173368,12.69862364,0.693140794
29393,Frank D. Lucas,Republican,Oklahoma,-98.839,36.121,0.001034213,0,1063.055288,0,0
29504,Zoe Lofgren,Democrat,California,-121.586,37.207,0.002671274,40,3004.199418,0,0.54084507
29550,Steve Chabot,Republican,Ohio,-84.345,39.337,0.001034213,0,261.9800887,0,0
29561,Michael F. Doyle,Democrat,Pennsylvania,-79.903,40.371,0.001034213,0,658.1504283,0,0
29571,Lloyd Doggett,Democrat,Texas,-97.886,29.918,0.006707533,131,1371.365835,12.64284205,0.735632184
29573,Sheila Jackson Lee,Democrat,Texas,-95.377,29.889,0.008054818,136,1220.404977,12.63796127,0.75
29588,Earl Blumenauer,Democrat,Oregon,-122.199,45.389,0.006263252,94,2966.426259,1.227307665,0.637873754
29701,Robert B. Aderholt,Republican,Alabama,-87.2,34.12,0.001034213,0,492.2599484,0,0
29707,Brad Sherman,Democrat,California,-118.545,34.203,0.009850685,150,2833.531868,30.70471413,0.79338843
29710,Diana DeGette,Democrat,Colorado,-104.908,39.732,0.010348486,151,1530.46233,34.90550614,0.796680498
29717,Danny K. Davis,Democrat,Illinois,-87.737,41.864,0.001215932,2,371.6501412,0,0.457142857
29729,James P. McGovern,Democrat,Massachusetts,-72.118,42.386,0.00859874,101,1343.108948,40.86125115,0.664359862
29741,Bill Pascrell Jr.,Democrat,New Jersey,-74.078,40.862,0.002385726,35,1150.403392,0.100282486,0.533333333
29759,Pete Sessions,Republican,Texas,-96.656,31.163,0.001034213,0,1189.827341,0,0
29760,Kevin Brady,Republican,Texas,-95.547,30.821,0.001034213,0,1148.123989,0,0
29762,Kay Granger,Republican,Texas,-97.669,32.817,0.001034213,0,1139.061764,0,0
29768,Adam Smith,Democrat,Washington,-122.244,47.463,0.011289804541618374,142,2987.51546,23.62593694,0.768
29769,Ron Kind,Democrat,Wisconsin,-90.916,44.068,0.006102361,77,687.758444,0.547045285,0.60952381
29776,Gregory W. Meeks,Democrat,New York,-73.776,40.66,0.009323349,110,1172.497612,1.734096083,0.680851064
29778,Barbara Lee,Democrat,California,-122.221,37.788,0.009660074,97,3044.213624,38.20903611,0.655290102
29901,Mike Thompson,Democrat,California,-122.468,38.535,0.018479538005882444,165,3048.224916,106.5545305,0.845814978
29903,Grace F. Napolitano,Democrat,California,-117.915,34.09,0.020447805881181162,163,2782.855488,86.14570862,0.838427948
29908,John B. Larson,Democrat,Connecticut,-72.801,41.811,0.010728687175470139,85,1274.126019,0.363059897,0.621359223
29910,Michael K. Simpson,Republican,Idaho,-113.362,43.469,0.001034213,0,2252.31929,0,0
29911,Janice D. Schakowsky,Democrat,Illinois,-87.81,42.052,0.014239361,84,393.1642614,1.350125772,0.617363344
31101,Suzan K. DelBene,Democrat,Washington,-121.632,48.348,0.030968335,169,2955.250982,174.168596,0.860986547
31102,Thomas Massie,Republican,Kentucky,-84.427,38.571,0.001034213,0,241.0330612,0,0
31103,Donald M. Payne Jr.,Democrat,New Jersey,-74.212,40.71,0.029286928,144,1136.792359,114.6182713,0.790123457
39301,James E. Clyburn,Democrat,South Carolina,-80.525,33.226,0.016516234,56,843.0657359,0,0.569732938
39305,Eddie Bernice Johnson,Democrat,Texas,-96.801,32.657,0.040396633,136,1086.413014,14.91932438,0.75
39307,Robert C. â€œBobbyâ€ Scott,Democrat,Virginia,-76.59,36.899,0.095181135,149,950.3355898,31.53138278,0.790123457
91980,Jeff Van Drew,Democrat,New Jersey,-74.908,39.477,0.001034213,0,1066.126382,0,0
