NAME,PARTY,STATE_NAME,LonX,LatY,icpsr,district_code,state_abbrev,born
Mark E. Green,Republican,Tennessee,-87.832,35.637,21926,7,TN,1964
David Kustoff,Republican,Tennessee,-89.099,35.861,21731,8,TN,1966
Steve Cohen,Democrat,Tennessee,-89.979,35.168,20748,9,TN,1949
Louie Gohmert,Republican,Texas,-94.559,31.959,20527,1,TX,1953
Daniel Crenshaw,Republican,Texas,-95.338,29.965,21911,2,TX,1984
Van Taylor,Republican,Texas,-96.615,33.158,21973,3,TX,1972
Pat Fallon,Republican,Texas,-95.404,33.31,22112,4,TX,1967
Lance Gooden,Republican,Texas,-95.736,32.227,21925,5,TX,1982
Jake Ellzey,Republican,Texas,-96.675,32.231,22160,6,TX,1970
Lizzie Fletcher,Democrat,Texas,-95.606,29.793,21919,7,TX,1975
Kevin Brady,Republican,Texas,-95.547,30.821,29760,8,TX,1955
Al Green,Democrat,Texas,-95.496,29.645,20529,9,TX,1947
Michael T. McCaul,Republican,Texas,-96.596,29.971,20530,10,TX,1962
August Pfluger,Republican,Texas,-100.083,31.736,22147,11,TX,1977
Kay Granger,Republican,Texas,-97.669,32.817,29762,12,TX,1943
Ronny Jackson,Republican,Texas,-100.617,34.838,22125,13,TX,1967
Randy K. Weber Sr.,Republican,Texas,-94.916,29.461,21360,14,TX,1953
Vicente Gonzalez,Democrat,Texas,-98.261,27.756,21722,15,TX,1967
Veronica Escobar,Democrat,Texas,-106.282,31.858,21917,16,TX,1969
Pete Sessions,Republican,Texas,-96.656,31.163,29759,17,TX,1955
Sheila Jackson Lee,Democrat,Texas,-95.377,29.889,29573,18,TX,1950
Jodey C. Arrington,Republican,Texas,-101.217,33.245,21700,19,TX,1972
Joaquin Castro,Democrat,Texas,-98.622,29.475,21362,20,TX,1974
Chip Roy,Republican,Texas,-98.96,30.018,21961,21,TX,1972
Troy Nehls,Republican,Texas,-95.683,29.518,22143,22,TX,1968
Tony Gonzales,Republican,Texas,-102.363,30.379,22119,23,TX,1980
Beth Van Duyne,Republican,Texas,-97.011,32.92,22155,24,TX,1970
Roger Williams,Republican,Texas,-97.814,31.505,21364,25,TX,1949
Michael C. Burgess,Republican,Texas,-97.132,33.195,20355,26,TX,1950
Michael Cloud,Republican,Texas,-96.877,28.873,21758,27,TX,1975
Henry Cuellar,Democrat,Texas,-98.909,27.857,20533,28,TX,1955
Sylvia R. Garcia,Democrat,Texas,-95.266,29.783,21922,29,TX,1950
Eddie Bernice Johnson,Democrat,Texas,-96.801,32.657,39305,30,TX,1935
John R. Carter,Republican,Texas,-97.539,30.837,20356,31,TX,1941
Colin Z. Allred,Democrat,Texas,-96.652,32.921,21900,32,TX,1983
Marc A. Veasey,Democrat,Texas,-97.094,32.754,21365,33,TX,1971
Mayra Flores,Republican,Texas,-97.665,27.692,22165,34,TX,1986
Lloyd Doggett,Democrat,Texas,-97.886,29.918,29571,35,TX,1946
Brian Babin,Republican,Texas,-94.414,30.46,21551,36,TX,1948
Blake Moore,Republican,Utah,-111.329,40.945,22141,1,UT,1980
Chris Stewart,Republican,Utah,-112.562,38.758,21367,2,UT,1960
John R. Curtis,Republican,Utah,-110.228,38.68,21755,3,UT,1960
Burgess Owens,Republican,Utah,-111.85,39.88,22146,4,UT,1951
Robert J. Wittman,Republican,Virginia,-77.064,37.922,20756,1,VA,1959
Elaine Luria,Democrat,Virginia,-75.945,37.355,21941,2,VA,1975
Robert C. “Bobby” Scott,Democrat,Virginia,-76.59,36.899,39307,3,VA,1947
A. Donald McEachin,Democrat,Virginia,-77.162,36.958,21736,4,VA,1961
Bob Good,Republican,Virginia,-78.742,37.347,22120,5,VA,1965
Ben Cline,Republican,Virginia,-79.191,38.135,21908,6,VA,1972
Abigail Davis Spanberger,Democrat,Virginia,-77.901,37.826,21966,7,VA,1979
"Donald S. Beyer, Jr.",Democrat,Virginia,-77.137,38.79,21554,8,VA,1950
H. Morgan Griffith,Republican,Virginia,-81.319,36.992,21191,9,VA,1958
Jennifer Wexton,Democrat,Virginia,-77.837,39.084,21983,10,VA,1968
Gerald E. Connolly,Democrat,Virginia,-77.296,38.794,20952,11,VA,1950
Peter Welch,Democrat,Vermont,-72.663,44.075,20750,1,VT,1947
Suzan K. DelBene,Democrat,Washington,-121.632,48.348,31101,1,WA,1962
Rick Larsen,Democrat,Washington,-122.491,48.354,20145,2,WA,1965
Jaime Herrera Beutler,Republican,Washington,-122.189,46.226,21187,3,WA,1978
Dan Newhouse,Republican,Washington,-119.705,47.299,21556,4,WA,1955
Cathy McMorris Rodgers,Republican,Washington,-117.879,47.59,20535,5,WA,1969
Derek Kilmer,Democrat,Washington,-123.607,47.592,21368,6,WA,1974
Pramila Jayapal,Democrat,Washington,-122.376,47.589,21726,7,WA,1965
Kim Schrier,Democrat,Washington,-121.003,47.423,21962,8,WA,1968
Adam Smith,Democrat,Washington,-122.244,47.463,29768,9,WA,1965
Marilyn Strickland,Democrat,Washington,-122.752,47.031,22153,10,WA,1962
Bryan Steil,Republican,Wisconsin,-88.372,42.712,21970,1,WI,1981
Mark Pocan,Democrat,Wisconsin,-89.748,42.983,21370,2,WI,1964
Ron Kind,Democrat,Wisconsin,-90.916,44.068,29769,3,WI,1963
Gwen Moore,Democrat,Wisconsin,-87.952,43.064,20537,4,WI,1951
Scott Fitzgerald,Republican,Wisconsin,-88.534,43.199,22115,5,WI,1963
Glenn Grothman,Republican,Wisconsin,-88.704,43.797,21559,6,WI,1955
Thomas P. Tiffany,Republican,Wisconsin,-90.656,45.59,21989,7,WI,1957
Mike Gallagher,Republican,Wisconsin,-88.287,44.811,21720,8,WI,1984
David B. McKinley,Republican,West Virginia,-80.267,39.38,21188,1,WV,1947
Alexander X. Mooney,Republican,West Virginia,-80.185,38.839,21557,2,WV,1971
Carol Miller,Republican,West Virginia,-81.198,37.994,21946,3,WV,1950
Liz Cheney,Republican,Wyoming,-107.551,43,21710,1,WY,1966
