NAME,PARTY,STATE_NAME,LonX,LatY,icpsr,district_code,state_abbrev,born
Jahana Hayes,Democrat,Connecticut,-73.219,41.691,21931,5,CT,1973
Eleanor Holmes Norton,Democrat,District of Columbia,-77.015,38.91,21993,0,DC,1937
Lisa Blunt Rochester,Democrat,Delaware,-75.507,38.992,21706,1,DE,1962
Matt Gaetz,Republican,Florida,-86.645,30.716,21719,1,FL,1982
Neil P. Dunn,Republican,Florida,-84.13,30.078,21714,2,FL,1953
Kat Cammack,Republican,Florida,-82.059,29.678,22107,3,FL,1988
John H. Rutherford,Republican,Florida,-81.655,30.357,21744,4,FL,1952
"Al Lawson, Jr.",Democrat,Florida,-83.327,30.449,21732,5,FL,1948
Mike Waltz,Republican,Florida,-81.301,29.179,21981,6,FL,1974
Stephanie N. Murphy,Democrat,Florida,-81.245,28.688,21738,7,FL,1978
Bill Posey,Republican,Florida,-80.743,28.129,20909,8,FL,1947
Darren Soto,Democrat,Florida,-81.285,28.035,21746,9,FL,1978
Val Butler Demings,Democrat,Florida,-81.511,28.544,21713,10,FL,1957
Daniel Webster,Republican,Florida,-82.167,28.791,21116,11,FL,1949
Gus M. Bilirakis,Republican,Florida,-82.431,28.281,20758,12,FL,1963
,Vacant,Florida,-82.722,27.85,21712,13,FL,1956
Kathy Castor,Democrat,Florida,-82.478,28.041,20708,14,FL,1966
Scott Franklin,Republican,Florida,-81.977,28.199,22116,15,FL,1964
Vern Buchanan,Republican,Florida,-82.301,27.527,20709,16,FL,1951
W. Gregory Steube,Republican,Florida,-81.528,27.244,21971,17,FL,1978
Brian J. Mast,Republican,Florida,-80.415,27.127,21735,18,FL,1980
Byron Donalds,Republican,Florida,-81.83,26.464,22111,19,FL,1978
Sheila Cherfilus-McCormick,Democrat,Florida,-80.58,26.448,29337,20,FL,1936
Lois Frankel,Democrat,Florida,-80.167,26.546,21321,21,FL,1948
,Vacant,Florida,-80.166,26.277,20959,22,FL,1966
Debbie Wasserman Schultz,Democrat,Florida,-80.289,26.064,20504,23,FL,1966
Frederica S. Wilson,Democrat,Florida,-80.216,25.911,21118,24,FL,1942
Mario Diaz-Balart,Republican,Florida,-81.157,26.226,20316,25,FL,1961
Carlos Gimenez,Republican,Florida,-80.817,25.452,22118,26,FL,1954
Maria Elvira Salazar,Republican,Florida,-80.286,25.699,22150,27,FL,1961
Earl L. “Buddy” Carter,Republican,Georgia,-81.991,31.308,21513,1,GA,1957
Sanford D. Bishop Jr.,Democrat,Georgia,-84.411,31.821,29339,2,GA,1947
A. Drew Ferguson IV,Republican,Georgia,-84.733,33.148,21717,3,GA,1966
Henry C. “Hank” Johnson Jr.,Democrat,Georgia,-84.05,33.697,20712,4,GA,1954
Nikema Williams,Democrat,Georgia,-84.401,33.707,22156,5,GA,1978
Lucy McBath,Democrat,Georgia,-84.345,34.01,21944,6,GA,1960
Carolyn Bourdeaux,Democrat,Georgia,-84.083,34.042,22104,7,GA,1970
Austin Scott,Republican,Georgia,-83.453,31.78,21123,8,GA,1969
Andrew Clyde,Republican,Georgia,-83.687,34.506,22110,9,GA,1963
Jody B. Hice,Republican,Georgia,-83.062,33.427,21514,10,GA,1960
Barry Loudermilk,Republican,Georgia,-84.651,34.191,21515,11,GA,1963
Rick W. Allen,Republican,Georgia,-82.221,32.411,21516,12,GA,1951
David Scott,Democrat,Georgia,-84.564,33.626,20321,13,GA,1945
Marjorie Taylor Greene,Republican,Georgia,-85.095,34.433,22121,14,GA,1974
Ed Case,Democrat,Hawaii,-157.907,21.368,20322,1,HI,1952
Kai Kahele,Democrat,Hawaii,-156.291,20.208,22128,2,HI,1974
Ashley Hinson,Republican,Iowa,-91.892,42.525,22124,1,IA,1983
Mariannette Miller-Meeks,Republican,Iowa,-92.149,41.208,22139,2,IA,1955
Cindy Axne,Democrat,Iowa,-94.637,41.204,21902,3,IA,1965
Randy Feenstra,Republican,Iowa,-94.641,42.626,22113,4,IA,1969
Russ Fulcher,Republican,Idaho,-116.033,45.363,21920,1,ID,1962
Michael K. Simpson,Republican,Idaho,-113.362,43.469,29910,2,ID,1950
Bobby L. Rush,Democrat,Illinois,-87.834,41.544,29346,1,IL,1946
Robin L. Kelly,Democrat,Illinois,-87.796,41.258,21371,2,IL,1956
DMarie Newman,Democrat,Illinois,-87.896,41.678,22144,3,IL,1964
Jesús G. Garcia,Democrat,Illinois,-87.765,41.872,21921,4,IL,1956
Mike Quigley,Democrat,Illinois,-87.835,41.932,20954,5,IL,1958
Sean Casten,Democrat,Illinois,-88.179,42.028,21906,6,IL,1971
Danny K. Davis,Democrat,Illinois,-87.737,41.864,29717,7,IL,1941
Raja Krishnamoorthi,Democrat,Illinois,-88.097,42.008,21730,8,IL,1973
Janice D. Schakowsky,Democrat,Illinois,-87.81,42.052,29911,9,IL,1944
Bradley Scott Schneider,Democrat,Illinois,-87.938,42.279,21326,10,IL,1961
Bill Foster,Democrat,Illinois,-88.146,41.644,20749,11,IL,1955
Mike Bost,Republican,Illinois,-89.432,37.99,21519,12,IL,1960
Rodney Davis,Republican,Illinois,-89.519,39.512,21328,13,IL,1970
Lauren Underwood,Democrat,Illinois,-88.432,42.028,21979,14,IL,1986
Mary Miller,Republican,Illinois,-88.436,38.911,22138,15,IL,1959
Adam Kinzinger,Republican,Illinois,-88.8,41.395,21128,16,IL,1978
Cheri Bustos,Democrat,Illinois,-90.21,41.39,21329,17,IL,1961
Darin LaHood,Republican,Illinois,-90.076,40.23,21562,18,IL,1968
Frank J. Mrvan,Democrat,Indiana,-87.158,41.458,22142,1,IN,1969
,Vacant,Indiana,-86.233,41.244,22171,2,IN,1984
Jim Banks,Republican,Indiana,-85.231,41.102,21702,3,IN,1979
James R. Baird,Republican,Indiana,-86.862,40.384,21903,4,IN,1945
Victoria Spartz,Republican,Indiana,-85.861,40.254,22151,5,IN,1978
Greg Pence,Republican,Indiana,-85.363,39.481,21952,6,IN,1956
André Carson,Democrat,Indiana,-86.139,39.747,20757,7,IN,1974
Larry Bucshon,Republican,Indiana,-87.198,38.739,21132,8,IN,1962
Trey Hollingsworth,Republican,Indiana,-86.207,38.787,21725,9,IN,1983
Tracy Mann,Republican,Kansas,-99.403,38.73,22134,1,KS,1976
Jake LaTurner,Republican,Kansas,-95.435,38.488,22130,2,KS,1988
Sharice Davids,Democrat,Kansas,-94.793,38.892,21914,3,KS,1980
Ron Estes,Republican,Kansas,-97.74,37.544,21750,4,KS,1956
James Comer,Republican,Kentucky,-87.185,37.082,21565,1,KY,1972
Brett Guthrie,Republican,Kentucky,-85.989,37.536,20916,2,KY,1964
John A. Yarmuth,Democrat,Kentucky,-85.694,38.188,20723,3,KY,1947
Thomas Massie,Republican,Kentucky,-84.427,38.571,31102,4,KY,1971
Harold Rogers,Republican,Kentucky,-83.522,37.369,14854,5,KY,1937
Andy Barr,Republican,Kentucky,-84.163,38.048,21333,6,KY,1973
Steve Scalise,Republican,Louisiana,-90.113,29.736,20759,1,LA,1965
Troy A. Carter,Democrat,Louisiana,-90.642,30.049,22158,2,LA,1963
Clay Higgins,Republican,Louisiana,-92.473,30.024,21724,3,LA,1961
Mike Johnson,Republican,Louisiana,-93.18,31.798,21727,4,LA,1972
Julia Letlow,Republican,Louisiana,-91.825,31.768,22157,5,LA,1981
Garret Graves,Republican,Louisiana,-91.055,30.311,21523,6,LA,1972
Richard E. Neal,Democrat,Massachusetts,-72.857,42.322,15616,1,MA,1949
James P. McGovern,Democrat,Massachusetts,-72.118,42.386,29729,2,MA,1959
Lori Trahan,Democrat,Massachusetts,-71.575,42.585,21977,3,MA,1973
Jake Auchincloss,Democrat,Massachusetts,-71.233,41.995,22100,4,MA,1988
Katherine M. Clark,Democrat,Massachusetts,-71.311,42.355,21375,5,MA,1963
Seth Moulton,Democrat,Massachusetts,-70.98,42.636,21525,6,MA,1978
