source,target,year,quarter,log_git_pushes,weight
IL,US,2020,1,13.274273835521964,8.245277769256433
IL,FR,2020,1,13.274273835521964,4.71225174782441
IL,SK,2020,1,13.274273835521964,3.257662839268292
IL,IE,2020,1,13.274273835521964,3.3898844740107514
IL,CH,2020,1,13.274273835521964,3.0867937762061253
IL,RU,2020,1,13.274273835521964,4.992879658222653
IL,DE,2020,1,13.274273835521964,6.256531550312413
IL,PS,2020,1,13.274273835521964,3.357247544697729
IL,RO,2020,1,13.274273835521964,4.9101401811835
IL,HU,2020,1,13.274273835521964,3.7419617087008543
IL,AT,2020,1,13.274273835521964,3.313657108622867
IL,JP,2020,1,13.274273835521964,3.738730688119408
IL,VN,2020,1,13.274273835521964,4.490024646856914
IL,LT,2020,1,13.274273835521964,2.975202710797663
IL,CZ,2020,1,13.274273835521964,3.767440794001839
IL,BY,2020,1,13.274273835521964,2.9032292111725733
IL,SG,2020,1,13.274273835521964,2.8495764976802533
IL,ES,2020,1,13.274273835521964,4.378709200798675
IL,NZ,2020,1,13.274273835521964,2.6688285053337295
IL,UZ,2020,1,13.274273835521964,2.6688285053337295
IL,SE,2020,1,13.274273835521964,3.8633225657051216
IL,NL,2020,1,13.274273835521964,5.380018426440607
IL,PL,2020,1,13.274273835521964,3.8575918909961366
IL,AU,2020,1,13.274273835521964,3.877507200697078
IL,CA,2020,1,13.274273835521964,3.8547141911685214
IL,IT,2020,1,13.274273835521964,4.583250768942709
IL,UA,2020,1,13.274273835521964,5.642623800011135
IL,RS,2020,1,13.274273835521964,2.81757376659408
IL,BG,2020,1,13.274273835521964,3.592638069621912
IL,GB,2020,1,13.274273835521964,6.0027162342197595
IL,IN,2020,1,13.274273835521964,5.2936338122417865
IL,NO,2020,1,13.274273835521964,3.225745236299987
DE,GB,2020,1,15.102695104802777,6.126076939349591
DE,BR,2020,1,15.102695104802777,3.873163937236684
DE,IT,2020,1,15.102695104802777,3.8964446874139473
DE,IR,2020,1,15.102695104802777,3.312508468043166
