ID,LatY,LonX,Label,aiportname,city,country,centrality,dist to center
OME,64.512199,-165.445007,Nome,Nome Airport,Nome,United States,0,0
SAT,29.533701,-98.469803,San Antonio,San Antonio International Airport,San Antonio,United States,0,0
ROC,43.1189,-77.672401,Rochester,Greater Rochester International Airport,Rochester,United States,0,0
RDU,35.877602,-78.787498,Raleigh-durham,Raleigh Durham International Airport,Raleigh-durham,United States,0,0
DAY,39.902401,-84.219398,Dayton,James M Cox Dayton International Airport,Dayton,United States,0,0
PHF,37.131901,-76.492996,Newport News,Newport News Williamsburg International Airport,Newport News,United States,0,0
TUS,32.1161,-110.941002,Tucson,Tucson International Airport,Tucson,United States,0,0
PVD,41.732601,-71.420403,Providence,Theodore Francis Green State Airport,Providence,United States,0,0
BUR,34.200699,-118.359001,Burbank,Bob Hope Airport,Burbank,United States,0,0
DTW,42.212399,-83.353401,Detroit,Detroit Metropolitan Wayne County Airport,Detroit,United States,0,0
TPA,27.9755,-82.533203,Tampa,Tampa International Airport,Tampa,United States,0,0
MAF,31.942499,-102.202004,Midland,Midland International Airport,Midland,United States,0,0
AGS,33.3699,-81.9645,Bush Field,Augusta Regional At Bush Field,Bush Field,United States,0,0
LIT,34.729401,-92.224297,Little Rock,Bill & Hillary Clinton National Airport/Adams Field,Little Rock,United States,0,0
DFW,32.896801,-97.038002,Dallas-Fort Worth,Dallas Fort Worth International Airport,Dallas-Fort Worth,United States,0,0
AUS,30.1945,-97.669899,Austin,Austin Bergstrom International Airport,Austin,United States,0,0
TYS,35.811001,-83.994003,Knoxville,McGhee Tyson Airport,Knoxville,United States,0,0
STL,38.748697,-90.370003,St. Louis,St Louis Lambert International Airport,St. Louis,United States,0,0
ATL,33.6367,-84.428101,Atlanta,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,0,0
GRR,42.880798,-85.522797,Grand Rapids,Gerald R. Ford International Airport,Grand Rapids,United States,0,0
FAT,36.776199,-119.718002,Fresno,Fresno Yosemite International Airport,Fresno,United States,0,0
BNA,36.1245,-86.6782,Nashville,Nashville International Airport,Nashville,United States,0,0
OTZ,66.884697,-162.598999,Kotzebue,Ralph Wien Memorial Airport,Kotzebue,United States,0,0
LGA,40.777199,-73.872597,New York,La Guardia Airport,New York,United States,0,0
TLH,30.3965,-84.350304,Tallahassee,Tallahassee Regional Airport,Tallahassee,United States,0,0
BTV,44.471901,-73.153297,Burlington,Burlington International Airport,Burlington,United States,0,0
JAX,30.494101,-81.687897,Jacksonville,Jacksonville International Airport,Jacksonville,United States,0,0
IAD,38.9445,-77.455803,Washington,Washington Dulles International Airport,Washington,United States,0,0
MKE,42.947201,-87.896599,Milwaukee,General Mitchell International Airport,Milwaukee,United States,0,0
PDX,45.588699,-122.598,Portland,Portland International Airport,Portland,United States,0,0
PBI,26.683201,-80.095596,West Palm Beach,Palm Beach International Airport,West Palm Beach,United States,0,0
HNL,21.32062,-157.924228,Honolulu,Daniel K Inouye International Airport,Honolulu,United States,0,0
DSM,41.534,-93.663101,Des Moines,Des Moines International Airport,Des Moines,United States,0,0
SAN,32.733601,-117.190002,San Diego,San Diego International Airport,San Diego,United States,0,0
ONT,34.056,-117.600998,Ontario,Ontario International Airport,Ontario,United States,0,0
FMN,36.741199,-108.230003,Farmington,Four Corners Regional Airport,Farmington,United States,0,0
CRP,27.770399,-97.501198,Corpus Christi,Corpus Christi International Airport,Corpus Christi,United States,0,0
SYR,43.111198,-76.1063,Syracuse,Syracuse Hancock International Airport,Syracuse,United States,0,0
MDW,41.785999,-87.752403,Chicago,Chicago Midway International Airport,Chicago,United States,0,0
SJC,37.362598,-121.929001,San Jose,Norman Y. Mineta San Jose International Airport,San Jose,United States,0,0
DEN,39.861698,-104.672996,Denver,Denver International Airport,Denver,United States,0,0
PHL,39.871899,-75.241096,Philadelphia,Philadelphia International Airport,Philadelphia,United States,0,0
CMH,39.998001,-82.891899,Columbus,John Glenn Columbus International Airport,Columbus,United States,0,0
GAL,64.736198,-156.936996,Galena,Edward G. Pitka Sr Airport,Galena,United States,0,0
ANC,61.1744,-149.996002,Anchorage,Ted Stevens Anchorage International Airport,Anchorage,United States,0,0
MOB,30.6912,-88.242798,Mobile,Mobile Regional Airport,Mobile,United States,0,0
RSW,26.5362,-81.755203,Fort Myers,Southwest Florida International Airport,Fort Myers,United States,0,0
