ID,LatY,LonX,Label,aiportname,city,country,centrality,dist to center
BTT,66.913902,-151.529007,Bettles,Bettles Airport,Bettles,United States,0,0
BOS,42.3643,-71.005203,Boston,General Edward Lawrence Logan International Airport,Boston,United States,0,0
OAK,37.721298,-122.221001,Oakland,Metropolitan Oakland International Airport,Oakland,United States,0,0
OMA,41.3032,-95.894096,Omaha,Eppley Airfield,Omaha,United States,0,0
OGG,20.8986,-156.429993,Kahului,Kahului Airport,Kahului,United States,0,0
ICT,37.649899,-97.433098,Wichita,Wichita Eisenhower National Airport,Wichita,United States,0,0
MCI,39.2976,-94.713898,Kansas City,Kansas City International Airport,Kansas City,United States,0,0
MSN,43.1399,-89.337502,Madison,Dane County Regional Truax Field,Madison,United States,0,0
PHX,33.434299,-112.012001,Phoenix,Phoenix Sky Harbor International Airport,Phoenix,United States,0,0
SFO,37.618999,-122.375,San Francisco,San Francisco International Airport,San Francisco,United States,0,0
GNV,29.6901,-82.271797,Gainesville,Gainesville Regional Airport,Gainesville,United States,0,0
MEM,35.0424,-89.9767,Memphis,Memphis International Airport,Memphis,United States,0,0
LAX,33.942501,-118.407997,Los Angeles,Los Angeles International Airport,Los Angeles,United States,0,0
CLE,41.411701,-81.8498,Cleveland,Cleveland Hopkins International Airport,Cleveland,United States,0,0
CVG,39.048801,-84.667801,Cincinnati,Cincinnati Northern Kentucky International Airport,Cincinnati,United States,0,0
JNU,58.355,-134.576004,Juneau,Juneau International Airport,Juneau,United States,0,0
EWR,40.692501,-74.168701,Newark,Newark Liberty International Airport,Newark,United States,0,0
BOI,43.5644,-116.223,Boise,Boise Air Terminal/Gowen Field,Boise,United States,0,0
DAL,32.847099,-96.851799,Dallas,Dallas Love Field,Dallas,United States,0,0
KOA,19.738783,-156.045603,Kona,Ellison Onizuka Kona International At Keahole Airport,Kona,United States,0,0
MYR,33.679699,-78.928299,Myrtle Beach,Myrtle Beach International Airport,Myrtle Beach,United States,0,0
DCA,38.8521,-77.037697,Washington,Ronald Reagan Washington National Airport,Washington,United States,0,0
ADQ,57.75,-152.494003,Kodiak,Kodiak Airport,Kodiak,United States,0,0
FLL,26.072599,-80.152702,Fort Lauderdale,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,0,0
SLC,40.788399,-111.977997,Salt Lake City,Salt Lake City International Airport,Salt Lake City,United States,0,0
MDT,40.193501,-76.763397,Harrisburg,Harrisburg International Airport,Harrisburg,United States,0,0
IAH,29.9844,-95.3414,Houston,George Bush Intercontinental Houston Airport,Houston,United States,0,0
ELP,31.807199,-106.377998,El Paso,El Paso International Airport,El Paso,United States,0,0
HRL,26.2285,-97.654404,Harlingen,Valley International Airport,Harlingen,United States,0,0
CAE,33.938801,-81.119499,Columbia,Columbia Metropolitan Airport,Columbia,United States,0,0
PNS,30.4734,-87.1866,Pensacola,Pensacola Regional Airport,Pensacola,United States,0,0
HOU,29.645399,-95.2789,Houston,William P Hobby Airport,Houston,United States,0,0
PIT,40.491501,-80.232903,Pittsburgh,Pittsburgh International Airport,Pittsburgh,United States,0,0
MIA,25.7932,-80.290604,Miami,Miami International Airport,Miami,United States,0,0
SEA,47.449001,-122.308998,Seattle,Seattle Tacoma International Airport,Seattle,United States,0,0
CHA,35.035301,-85.203796,Chattanooga,Lovell Field,Chattanooga,United States,0,0
JAN,32.311199,-90.075897,Jackson,Jackson-Medgar Wiley Evers International Airport,Jackson,United States,0,0
LGB,33.817699,-118.152,Long Beach,Long Beach /Daugherty Field/ Airport,Long Beach,United States,0,0
IND,39.7173,-86.294403,Indianapolis,Indianapolis International Airport,Indianapolis,United States,0,0
HPN,41.067001,-73.707603,White Plains,Westchester County Airport,White Plains,United States,0,0
BET,60.7798,-161.837997,Bethel,Bethel Airport,Bethel,United States,0,0
LIH,21.976,-159.339004,Lihue,Lihue Airport,Lihue,United States,0,0
RIC,37.505199,-77.319702,Richmond,Richmond International Airport,Richmond,United States,0,0
ORF,36.8946,-76.201202,Norfolk,Norfolk International Airport,Norfolk,United States,0,0
SAV,32.127602,-81.202103,Savannah,Savannah Hilton Head International Airport,Savannah,United States,0,0
